Wallet,Farm,Pid,Amount,Formatted Amount,Token,Symbol,Accumulated Reward Per Share,RewardDebt,Pending ORI,Pending JUMP,Formatted Pending ORI,Formatted Pending JUMP
0x005103734019b472056C6BEa076dc3e565Fa3dd9,0x4F1818Ff649498a2441aE1AD29ccF55a8E1C6250,2,17791359078243953686,17.791359078243953,0x3701cFE08a3f0b629dBcaEcebA773A8B4f0044E3,TLP,426716335804743,5421484134479228610830,2.170379420375482e+21,434075884075096400000,2170.379420375482,434.0758840750964
0x0084f1798082146a3182AAa26A72A11f78AC7E2A,0x4F1818Ff649498a2441aE1AD29ccF55a8E1C6250,2,3096567234820596196,3.096567234820596,0x3701cFE08a3f0b629dBcaEcebA773A8B4f0044E3,TLP,426716335804743,374223366664390214051,947132457351280100000,189426491470256000000,947.1324573512801,189.42649147025602
0x00c66C751732Ec2ae7B678d5e40c0593949a1351,0x4F1818Ff649498a2441aE1AD29ccF55a8E1C6250,1,6550936312493703569,6.550936312493703,0xf0696E201D20b553792ac2578429B791625308A0,TLP,293383536886165,1376936371604189451955,545000493671224700000,109000098734244940000,545.0004936712247,109.00009873424494
0x0152C9090583716449ac6AB63c3Cb29220175e8f,0x4F1818Ff649498a2441aE1AD29ccF55a8E1C6250,1,501923112318460372,0.5019231123184603,0xf0696E201D20b553792ac2578429B791625308A0,TLP,293383536886165,75152421619941838722,72103556316959920000,14420711263391984000,72.10355631695991,14.420711263391985
0x01c43f6B7E2f4D6c9A63C55bC49b1627Ae3Bc463,0x4F1818Ff649498a2441aE1AD29ccF55a8E1C6250,53,135121182479485022695,135.12118247948501,0x6d795cC94AF436436510102De7B17ac9579CE1cB,TLP,13793135023962,844158931193933346992,1.0195857833430121e+21,203917156668602420000,1019.5857833430122,203.91715666860242
0x01e10182e08cF1400165ECdEd27d654E21260598,0x4F1818Ff649498a2441aE1AD29ccF55a8E1C6250,1,183993755420944987,0.18399375542094498,0xf0696E201D20b553792ac2578429B791625308A0,TLP,293383536886165,20352426913407654621,33628311816957180000,6725662363391437000,33.62831181695718,6.725662363391437
0x0207cd3C1c50E01cc836a5BcA276Dbe9a9607494,0x4F1818Ff649498a2441aE1AD29ccF55a8E1C6250,1,9899669423730458765,9.899669423730458,0xf0696E201D20b553792ac2578429B791625308A0,TLP,293383536886165,1983725389615511579216,920674639922353100000,184134927984470620000,920.6746399223531,184.13492798447064
0x0254e6d5cc67C26748EFdB2D4C5f43F93cF694D0,0x4F1818Ff649498a2441aE1AD29ccF55a8E1C6250,1,3234047443841636037,3.234047443841636,0xf0696E201D20b553792ac2578429B791625308A0,TLP,293383536886165,859958003004990038294,88858274526930140000,17771654905386030000,88.85827452693015,17.77165490538603
0x02989Bd6493FE11Bef9F0c7249c6ee466EA417B9,0x4F1818Ff649498a2441aE1AD29ccF55a8E1C6250,16,1087127080342285872,1.087127080342286,0x09B6A72cf14067cDD435e4B12cAA753404333042,TLP,3726454920372,59000515804869610,3992129541806288000,798425908361257600,3.9921295418062877,0.7984259083612576
0x02AB69E61f7caF7025258Fb2047776AcA0a151fD,0x4F1818Ff649498a2441aE1AD29ccF55a8E1C6250,11,1290061738290352785,1.290061738290353,0x5EAD38FC2ea515fd17167968c6BB08F3fa4d7a9A,TLP,9787982071018,410891770173743415,12216209394718546000,2443241878943709000,12.216209394718545,2.4432418789437094
0x02ba594343B72D9FA510E680D919B318b6F3E012,0x4F1818Ff649498a2441aE1AD29ccF55a8E1C6250,1,3554620684616835992,3.554620684616836,0xf0696E201D20b553792ac2578429B791625308A0,TLP,293383536886165,528899592050495929394,513967596691112660000,102793519338222530000,513.9675966911127,102.79351933822254
0x04062ad8EdcDBE43195Ba51FD1F54819Ba5CAA94,0x4F1818Ff649498a2441aE1AD29ccF55a8E1C6250,1,257261402838404576,0.2572614028384046,0xf0696E201D20b553792ac2578429B791625308A0,TLP,293383536886165,44259381841166397564,31216878427861220000,6243375685572244000,31.21687842786122,6.243375685572245
0x040F8B67E22eef19809E1DC04Da3913F136838D0,0x4F1818Ff649498a2441aE1AD29ccF55a8E1C6250,1,310198032604475903,0.3101980326044759,0xf0696E201D20b553792ac2578429B791625308A0,TLP,293383536886165,62483683508657018335,28523312431974048000,5704662486394809000,28.52331243197405,5.70466248639481
0x04897c101230f43A148850aD0F6C7910c8e92ddC,0x4F1818Ff649498a2441aE1AD29ccF55a8E1C6250,31,340702668404599,0.000340702668404599,0xe235e8eF57C96b71e17814010546A7580F2ee34e,TLP,338945226195356451,69143677108143395515,46335865899614950000,9267173179922991000,46.33586589961495,9.267173179922992
0x050c78b12A14aC58833C4799080449F285F460c2,0x4F1818Ff649498a2441aE1AD29ccF55a8E1C6250,2,1477125751491496146,1.4771257514914962,0x3701cFE08a3f0b629dBcaEcebA773A8B4f0044E3,TLP,426716335804743,183071792158325449631,447241896040953150000,89448379208190620000,447.2418960409532,89.44837920819063
